#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000938a;How dare they! Unleash the fury of the Reich!;;;;;;;;;;X;
1000939name;The United Kingdom has fallen;;;;;;;;;;;
1000939desc;The United Kingdom has fallen to the Reich - our best chances for the liberation of the Europe are now completely reversed. Staging an invasion of Fortress Europe will now be incredibly difficult. We will need to watch the seas closely and keep an eye on Canada to ensure that our nation remains secure from the Nazi threat.;;;;;;;;;;X;
1000939a;Where will the Reich look to next?;;;;;;;;;;X;
1000940name;Last stand of the Anglo-Saxon;;;;;;;;;;;
1000940desc;This is our last chance against German tyranny! We need to give this everything we have or we will never be free again!;;;;;;;;;;X;
1000940a;Fight!;;;;;;;;;;X;
1000941name;The Germans have landed in Canada!;;;;;;;;;;;
1000941desc;The unthinkable has happened! The Germans have landed an invasion force in Canada, and pose a serious threat to our national security!;;;;;;;;;;X;
1000941a;Congress declares war immediately!;;;;;;;;;;X;
1000941b;We must help the Canadians!;;;;;;;;;;X;
1000942name;Grey Dawn;;;;;;;;;;;
1000942desc;The Germans are invading! We must rally every citizen!;;;;;;;;;;X;
1000942a;Exercise your second amendment rights! Fight!;;;;;;;;;;X;
1000942b;No need.;;;;;;;;;;X;
1000943name;The invasion of America;;;;;;;;;;;
1000943desc;Aside from the enormous logistical challenges presented from waging a war on foreign soil across the Atlantic Ocean, an invasion of the United States presents further difficulties from the population itself. The Americans are very proud of their right to freely own firearms, and they are sure to make use of them against us!\n \nNot only do we have to overcome the United States military, but every citizen is much more likely to offer resistance and harrass our forces. This will be a savage war!;;;;;;;;;;X;
1000943a;We cannot fail now! This is the final battle!;;;;;;;;;;X;
1000944name;The USA offers an unconditional surrender;;;;;;;;;;;
1000944desc;The lessons learned in Operation Barbarossa allowed us to conduct the most ambitious military campaign in human history - the trans-Atlantic invasion of the United States. We have taken control of vast swathes of the USA despite fierce resistance from the local population. Despite their incredible landmass and unprecedented industrial capacity, the Americans are reeling from blow after blow inflicted by the Wehrmacht. The United States High Command has offered their unconditional surrender, realizing that continued struggle is pointless and that they no longer have the support of their own citizens in the face of such a defeat.\n \nA grand ceremony is taking place to hallmark the founding of the world's first superpower - with the conquest of the United States, the Reich has risen to the status of a global empire and none are left to challenge us. To permanently cripple the USA, we will demand the occupation of the eastern coast at a minimum. If we so choose, we can also dissolve the union and create entities such as California and Texas to partition the former United States. We will also gain Alaska and other assets such as the Panama Canal.\n \nNot even in the Führer's wildest dreams could such a mission be accomplished. With the defeat of the United States, a new Germanic dawn is rising - not only on Europe, but on the entire planet! Sieg heil!;;;;;;;;;;X;
1000944a;Demand the United States east coast!;;;;;;;;;;X;
1000944b;Demand the east coast and a dissolution of the Union!;;;;;;;;;;X;
1000944c;Their surrender is unnecessary, continue the war!;;;;;;;;;;X;
1000945name;German terms of surrender;;;;;;;;;;;
1000945desc;The unthinkable has happened - the United States has been invaded by the Third Reich and our country overrun. The old American belief of our invincibility granted by the wide oceans and pride of our citizens has proven to be false.;;;;;;;;;;X;
1000945a;The American dream is no more.;;;;;;;;;;X;
1000945b;The American dream is no more.;;;;;;;;;;X;
1000945c;These terms are unacceptable. Continue the fight.;;;;;;;;;;X;
1000946name;Creation of the American Union State;;;;;;;;;;;
1000946desc;Now that we have occupied the eastern coast of the United States, we must set up a regime to look after our interests over such an enormous territory. The local population will take many years of conditioning to accept our rule, and we must find a solution to this question immediately or find ourselves greatly overextended.\n \nAn interesting proposition has arisen for such a challenge. Fritz Kuhn, the leader of the German-American Bund, has been released from prison by our occupation forces and could serve as a perfect figurehead to begin consolidating our rule over the eastern American coast. Although the German-American Bund received no official support during the war, we could reconstitute the party as our ruling regime in a new political entity - the American Union State. This regime will usher in a new era of National Socialism in America and lead her people to a new age.\n \nThis occupation regime will require extensive support from Berlin, but it may be our best option for the time being. Fritz Kuhn is a native German whom has absolutely unquestioned loyalty to the Reich, and will serve our directives without us needing to be concerned about our new American possessions going astray. If the Reich is to guide the American people and heal them from the rampant abuses of finance capitalism, this is the the first step in what may prove to be our greatest challenge yet.;;;;;;;;;;X;
1000946a;The German-American Bund will rule the American Union State!;;;;;;;;;;X;
1000946b;We will control the American east coast ourselves!;;;;;;;;;;X;
1000947name;Fate of Canada;;;;;;;;;;;
1000947desc;"At the beginning of the Second World War, Canada was a quasi-independent dominion of the British Empire and was brought into the war along with the United Kingdom. This was a subject of some controversy, as the 1931 Statute of Westminster had given Canada fully sovereign status and the decision to participate in a European war was questioned by both the government and the public. Memories of the 1917 Conscription Crisis that divided French and English Canadians was still fresh in recent memory. However, Prime Minister William Lyon Mackenzie King was loyal to British interests and had made the decision to follow Britain into war even before the outbreak of the conflict on September 1, 1939.\n \nNow that the Wehrmacht has overran Canada and forced their surrender, we need to decide upon its future. Hitler's personal perspective of Canada were more or less aligned with his views on the United States, and he gave Canada little attention. He viewed Canada as an extension of the United States and believed that it would one day annex Canada as a matter of due course, and that the Canadians would likely welcome this event.\n \nWe have the opportunity to create a new Canadian regime friendly to the Reich under the guidance of Adrien Arcand, leader of the Christian National Social Party and self-titled ""Canadian Führer"". We may also consider giving the French Canadians their own state - yet another great opportunity to implement a nationalist divide-and-conquer policy to ensure that our interests around the globe stay loyal to directions from Berlin.";;;;;;;;;;X;
1000947a;Create a new regime in Canada loyal to us.;;;;;;;;;;X;
1000947b;Create Canada and liberate Quebec as well.;;;;;;;;;;X;
1000947c;One France, one nation! Join Quebec with the French State!;;;;;;;;;;X;
1000947d;Canada will remain under occupation.;;;;;;;;;;X;
1000948name;Control over Alaska;;;;;;;;;;;
1000948desc;Alaska was still a territory of the United States during the Second World War, only achieving proper statehood in 1959. The Aleutian Island chains in particular were of critical strategic importance in the Pacific War against the Empire of Japan, and this enormous landmass sold to the United States by the Russian Empire passed into our ownership as part of the demands we placed upon the defeated United States.\n \nWhile we can choose to hold onto this territory ourselves, we have very little ability to control or monitor its affairs from Europe. It may be wise for us to grant control of Alaska to one of our allies that will be able to look after its security far better than we can from Berlin. All economic and strategic assets located in Alaska will be available to us regardless of our decision.;;;;;;;;;;X;
1000948a;Alaska is a natural extension of Canada.;;;;;;;;;;X;
1000948b;The American Union State should control this area.;;;;;;;;;;X;
1000948c;Our Japanese allies would appreciate control over Alaska.;;;;;;;;;;X;
1000948d;Alaska should remain as a distant province of the Reich.;;;;;;;;;;X;
1000949name;The remaining Allies sue for peace;;;;;;;;;;;
1000949desc;After the fall of the United States, it became clear to the remaining Allied powers that any possibility of achieving victory was impossible. We have finally received a peace offer from them - the terms are simple and straightforward. They only desire to retain their sovereignty and wish to be left alone in their respective territories.\n \nWe have fought for many years, and smashed every foe that has dared to stand before us. It may be wise to accept this offer and finally begin rebuilding Europe and the rest of the world. Now that there is no power on the planet that can realistically challenge the Reich, it is time to let our unstoppable war machine rest.  The time has come for the Germanic New Order to enter an era of peace and prosperity.;;;;;;;;;;X;
1000949a;Accept the terms of the peace - none can challenge us now.;;;;;;;;;;X;
1000949b;There will be no peace until they are all destroyed!;;;;;;;;;;X;
1000950name;Endsieg;;;;;;;;;;;
1000950desc;"It was a tranquil day at the Berghof. The news had just been delivered that the remaining Allied powers had finally sued for peace, and the terms were accepted. The Führer decides to take a walk with his most trusted military commander and reflect on the experience of the war.\n \n""I never wanted this war - all I desired was a free hand against the Soviet Union. I have brought the salvation of Europe from the terror of the Bolshevists and unified it under one hand, an order not seen since the time of Charlemagne. The Reich has achieved success beyond even my wildest dreams.\n \nNow, finally, I can rest - and build. It's all I've ever wanted to do. We will build the greatest structures and most enduring civilization that the world has ever seen. The war has robbed me of my best years - it will be up to future generations to inherit what we have accomplished. However, now I may pass from this world and rest easily, knowing that Germania has taken her rightful place and that mankind has a bright future under her guidance. It would not have been possible with your guidance, commander. The world owes this final victory to you!""";;;;;;;;;;X;
1000950a;The Germanic dawn has risen on the world, and may it never set.;;;;;;;;;;X;
1000951name;Operation Sealion difficulty;;;;;;;;;;;
1000951desc;Edge of Darkness includes a variety of events that make Operation Sealion a more challenging experience. The United Kingdom will receive a series of events that give them help with beach garrisons, fortifications, modified naval AI and various other bonuses to better ensure that taking the British home islands will be a serious fight!\n \nYou may choose to disable these events if you would like an easier time in taking down the United Kingdom, though it is recommended to leave them on for the full experience. You will still be able to enjoy the new post-war content once the British isles have fallen regardless of your choice.;;;;;;;;;;X;
1000951a;Leave the new events on for a more challenging Sealion.;;;;;;;;;;X;
1000951b;Disable the events that help the United Kingdom against Sealion.;;;;;;;;;;X;
1000952name;Barbarossa difficulty setting;;;;;;;;;;;
1000952desc;The player has chosen the easy setting! The Revolution is doomed!;;;;;;;;;;X;
1000952a;The right side of the history!;;;;;;;;;;X;
1000953name;The Germans have landed in Canada!;;;;;;;;;;;
1000953desc;The unthinkable has happened! The Germans have landed an invasion force in Mexico, and pose a serious threat to our national security!;;;;;;;;;;X;
1000953a;We must prepare for the worst!;;;;;;;;;;X;
1000953b;A shame, but nothing can be done.;;;;;;;;;;X;
1000954name;The Germans have landed in Mexico!;;;;;;;;;;;
1000954desc;The unthinkable has happened! The Germans have landed an invasion force in Mexico, and pose a serious threat to our national security!;;;;;;;;;;X;
1000954a;Congress declares war immediately!;;;;;;;;;;X;
1000954b;We must help the Mexicans!;;;;;;;;;;X;
1000955name;Invocation of the Monroe Doctrine;;;;;;;;;;;
1000955desc;The unthinkable has happened! The Germans have landed an invasion force in the South America region!;;;;;;;;;;X;
1000955a;We must protect the western hemisphere!;;;;;;;;;;X;
1000955b;They're trying to come from the south!;;;;;;;;;;X;
EVT_NAME_1100000;Schwerer Gustav and Dora;;;;;;;;;;;
EVT_DESC_1100000;Schwerer Gustav was a German 80 cm railway gun developed in the late 1930s by Krupp. The gun was designed in preparation for the Battle of France, but was not ready for action when the battle began, and in any case the Wehrmacht's Blitzkrieg offensive through Belgium rapidly outflanked and isolated the Maginot Line's static defenses, eventually forcing the French to surrender and making their destruction unnecessary. Gustav was later deployed in the Soviet Union during the Battle of Sevastopol, part of Operation Barbarossa, where among other things, it destroyed a munitions depot buried in the bedrock under a bay. The gun was moved to Leningrad, and may have been intended to be used in the Warsaw Uprising like other German heavy siege pieces, but the rebellion was crushed before it could be prepared to fire. Gustav was destroyed by the Germans near the end of the war in 1945 to avoid capture by the Red Army. Dora was the second gun produced. It was deployed briefly against Stalingrad, where the gun arrived at its emplacement 15 kilometres to the west of the city sometime in mid-August 1942. It was ready to fire on 13 September. However, it was soon withdrawn when Soviet encirclement threatened.\n \nSchwerer Gustav and Dora were the largest-calibre rifled weapon ever used in combat and, in terms of overall weight, the heaviest mobile artillery piece ever built. It fired the heaviest shells of any artillery piece. It is surpassed in calibre only by the unused British Mallet's Mortar and the American Little David bomb-testing mortar.;;;;;;;;;;X;
EVT_NAME_1100001;502nd SS J�ger Battalion;;;;;;;;;;;
EVT_DESC_1100001;Formed in June 1943, the unit was commanded by Otto Skorzeny and was based at chateau Friedenthal just north of Berlin in Sachsenhausen by Oranienburg, consisting originally of the three hundred members of the former SS-Sonderverband z.b.V. Friedenthal and Sonderlehrgang z.b.V. Oranienburg. After an unsuccessful attempt to train members of an SS penal facility, Skorzeny obtained permission to recruit volunteers from the Wehrmacht, and 100 SS personnel, 50 Luftwaffe and 150 Army personnel were admitted, allowing the formation of a headquarters company and two line companies. An intensive training programme was instituted. \n In September 1943, fourteen members of this unit took part in the Gran Sasso raid, which resulted in the rescue of deposed Italian dictator Benito Mussolini.They were later placed on standby for several operations that never took place, including a proposed kidnapping of Philippe Pétain. In September 1944, SS-J�ger-Bataillon 502 was dissolved and its personnel absorbed into a new battalion, SS-Jagdverband Mitte.;;;;;;;;;;X;
EVT_NAME_1100002;Capture of Sovetskaja Ukraina;;;;;;;;;;;
EVT_DESC_1100002;The Sovetskaja Ukraina was laid down in 1938 in Nikolaev at the Black Sea. When German troops captured Nikolaev, the ship was completed up to the main deck, although it was slightly damaged by the retreating Russian troops. Since the planned  main armament precisely matched the armament of the German H-class battleship, Germany initially planned to continue the construction of the ship. Due to the lack of ressources and manpower, the consttuction of Sovetskaja Ukraina was abandon in 1942 and some of the armor and secondary artillery was used for the fortification of Sevastopol. \nIn 1943 the construction was continued with a low priority and when the Germans were forced out of Nikilaev in March of 1944, they destroyed the incomplete ship by explosives.;;;;;;;;;;X;
1100002a;Break her up.;;;;;;;;;;X;
1100002b;Continue its construction.;;;;;;;;;;X;
EVT_NAME_1100004;Werner Baumbach;;;;;;;;;;;
EVT_DESC_1100004;Werner Baumbach, born on December 27th 1916, entered the Luftwaffe in 1936 and after first training at the 2nd Air Warfare School was trained as a bomber pilot. He was one of the first pilots to fly the Junkers Ju 88 bomber and flew various bombing missions with Kampfgeschwader 30. On 19 April 1940 he bombed and damaged the French cruiser Émile Bertin for which he was awarded the Iron Cross 1st Class. By August 1942 Baumbach received the Knight's Cross of the Iron Cross with Oak Leaves and Swords for the destruction of over 300,000 gross register tons of Allied shipping. Then, Baumbach was removed from active pilot duty and started working on new bomber designs; among others, he helped design the composite bomber system Mistel. In 1944, he was placed in command of the newly formed Kampfgeschwader 200 and was in charge of all Luftwaffe special missions. Baumbach was promoted to Oberstleutnant on 15 November 1944 and was tasked with leading the affairs of the General der Kampfflieger.\n \nAfter the war, Baumbach spent three years as a prisoner of war before he moved to Argentina where he worked as a test pilot. He died in a plane crash on 20 October 1953 while evaluating a British Lancaster bomber.;;;;;;;;;;X
EVT_NAME_1100005;Michael Wittmann;;;;;;;;;;;
EVT_DESC_1100005;Michael Wittmann, born on 22 April 1914, in Vogelthal, joined the German Army in 1934. Discharged as a corporal in September 1936, the ambitious young man then joined the Waffen SS in April 1937 and was assigned to the elite Leibstandarte SS Adolf Hitler (LSSAH). During the brief Polish campaign and then in the German blitzkrieg sweep into Belgium, Holland, and France, he commanded a six-wheeled heavy armored car on reconnaissance sorties. \n When Nazi armies swarmed across the Russian border on June 22, 1941, the LSSAH panzers rolled southward and Wittmann quickly distinguished himself as a tank commander in the first of many clashes with the Red Army.In less than a year of action on the Eastern Front, Wittmann was credited with 66 tank kills. Wittmann was awarded the Iron Cross with Oak Leaves on 30 January 1944 for the destruction of 117 tanks, making him the 380th member of the German armed forces to receive it. Wittmann received the award from Adolf Hitler personally at the Wolf's Lair, Hitler's headquarters in Rastenburg, on 2 February 1944. On 7 June, following the Allied Invasion of Normandy, the battalion was ordered to move to Normandy, where Wittmann became known for the Battle of Villers-Bocage on 13 June 1944. While in command of a Tiger I tank, he destroyed up to fourteen tanks and fifteen personnel carriers, along with two anti-tank guns, within the space of fifteen minutes. The news was picked up and disseminated by the Nazi propaganda machine and added to Wittmann's stature in Germany.\n \nOn August 8th 1944, Wittmann died in a battle, when his Tiger tank was destroyed during an ambush near the French town of Saint-Aignan-de-Cramesnil. During his career, he recorded 138 tank kills, 132 anti-tank gun kills, and destroyed hundreds of trucks, carriers, artillery, and errant sportscars.;;;;;;;;;;X;
EVT_NAME_1100006;Dmitry Lavrinenko;;;;;;;;;;;
EVT_DESC_1100006;Dmitry Fyodorovich Lavrinenko, born on September 10th 1914 was a Soviet tank commander and Hero of the Soviet Union. He was the highest scoring tank ace of the Allies during World War II. \n A descendant of Kuban Cossacks, Lavrinenko finished his training at Ulyanovsk Tank Academy in May 1938. He took part in Soviet campaigns in Poland in 1939 and Bessarabia in 1940. In 1941, he commanded the new T-34/76 tank. With 58 tanks and self-propelled guns eliminated in 1941 during Operation Barbarossa on the Eastern Front of World War II, he is considered to be one of the top Soviet tank aces of the war, despite his early death in 1941. He achieved such impressive results by taking advantage of the abilities of the T-34. The tank's armor and great mobility were clearly taken into consideration by Lavrinenko. On December 18, 1941 Lavrinenko was killed just after freeing the village of Goryuny and knocking out his 52nd tank. Immediately after the action the Germans began shelling the village intensively. Lavrinenko got out of his T-34 near the village and tried to reach the commander of the 17th Armoured Brigade, Lt Col N. Chernoyarov, in order to report his victory but he was killed by a German mortar shell fragment. \n The total number of tanks damaged and destroyed by Lavrinenko is comparatively small next to aces like Michael Wittmann (138 tanks and 132 anti-tank guns), Otto Carius (150 tanks), Kurt Knispel (168 tanks), and several others. However, almost all the German tank aces of the war fought from start to finish, so their overall results were more significant. Lavrinenko destroyed 52 tanks in just 2.5 months of fierce fighting in 1941. This was an outstanding result in the Soviet Army, and no single Allied tank officer surpassed him during the whole war.;;;;;;;;;;X;
EVT_NAME_1100007;Anniversary of Revolution;;;;;;;;;;;
EVT_DESC_1100007;On this day in 1941, the 24th anniversary of the Bolshevik Revolution, Joseph Stalin, premier and dictator of the USSR, delivered a speech to a rally of Moscow Party workers. The rally was held underground, in the marbled halls of the Mayakovsky train station. There, Stalin encouraged the assembled Communist Party workers with the promise that if the Germans want a war of extermination, they shall have one.\n \nThen  the annual Revolution Parade in honor of the October Revolution 24 years earlier was held. Standing atop Lenin’s Mausoleum in Red Square, Stalin took the salute of his troops and encouraged them to defend holy Russia —even as German tanks, previously mired in mud, began to roll over now—frozen ground in their advance toward the Soviet capital. It should be the last Revolution Parade in a war that should last for four years and cost millions of lives.;;;;;;;;;;X;
EVT_NAME_1100008;Amber Room;;;;;;;;;;;
EVT_DESC_1100008;The Amber Room or Yantarnaya Komnata was a world-famous chamber decorated in amber panels backed with gold leaf and mirrors, located in the Catherine Palace of Tsarskoye Selo near Saint Petersburg. Although it was originally created in early 18th century in Berlin, it was given by the Prussian King Frederick William I to his then ally, Tsar Peter the Great in 1716. In Russia, the room was expanded, and after several renovations, it covered more than 55 square metres and contained over 6 tonnes of amber. \nShortly after the beginning of the German invasion of the Soviet Union in World War II, the curators responsible for removing the art treasures in Leningrad tried to disassemble and remove the Amber Room. However, over the years the amber had dried out and become brittle, making it impossible to move the room without crumbling the amber.The Amber Room was therefore hidden behind mundane wallpaper, in an attempt to keep German forces from seizing it. Predictably, the attempt to hide such a well-known piece of art failed. German soldiers of Army Group North disassembled the Amber Room within 36 hours under the supervision of two experts. On 14 October 1941, the priceless room reached Königsberg in East Prussia, for storage and display in the town's castle. \nIn August 1944, Königsberg was heavily fire bombed by the Royal Air Force. It suffered further extensive damage from artillery from the advancing Red Army before the final occupation on 9 April 1945. Its current whereabouts remain a mystery, but it is highly believed that the room was destroyed during these raids.;;;;;;;;;;X;
EVT_NAME_1100010;The road of life;;;;;;;;;;;
EVT_DESC_1100010;By 8 September 1941, the German Army Group North under Feldmarschall Wilhelm Ritter von Leeb had almost completely surrounded Leningrad, successfully cutting off all major supply routes. To address this growing concern, a decision was cast by the Military Soviet of the Leningrad Front to establish an evacuation commission in November 1941. As the severity of the siege intensified, the committee proposed the construction of an ice road over Lake Ladoga as both a viable supply line and means for civilian evacuation en masse. The Road of Life began to operate on 19 November 1941 after Captain Mikhail Murov and his transport regiment carried the first supplies over Lake Ladoga via horse-drawn sleigh. However, due to proximal bombardments, ice breakage, and unreliable machinery, the route was far from fully functional at this time. It was only in mid-December, after troops of the Volkhov front recaptured Tikhvin, that construction of a railroad directly connecting the western shore of Lake Ladoga to Leningrad was possible. \n The siege lasted for 29 months from 8 September 1941, to 27 January 1944. Over one million citizens of Leningrad died from starvation, stress, exposure and bombardments. Each winter, the Lake Ladoga ice route was reconstructed by hand, and built according to precise arithmetic calculations depending on traffic volume. In addition to transporting thousands of tons of munitions and food supplies each year, the Road of Life also served as the primary evacuation route for the millions of Soviets trapped within the starving city.;;;;;;;;;;X;
EVT_NAME_1100011;Arado Ar 234;;;;;;;;;;;
EVT_DESC_1100011;As the German Messerschmitt Me 262 Schwalbe holds the distinction of becoming the world's first operational jet-powered fighter, the Arado Ar 234 Blitz is recognized as the world's first operational jet-powered bomber. The system arrived in 1944 and became active into 1945, serving until the end of war in 1945. It proved one of the more technologically advanced and prized weapons of the German Luftwaffe but was never available in the numbers required. The aircraft proved so advanced, in fact, that it was able to evade all available Allied interceptors of the time, making it a very capable reconnaissance and high-speed bombing platform. Unfortunately for the Germans, related testing and manufacture facilities were disrupted consistently, fuel supplies restricted and factories ultimately overrun by advancing Allied fronts limiting production to a few hundred examples by war's end. The West seemingly benefitted the most from the captured technology, the Americans in particular designing, developing and producing several jet-powered bombers of the Cold War that superficially resembled the wartime Ar 234 series to an extent (though frequently on a much larger scale). The Ar 234 became the German Luftwaffe's second jet-powered aircraft to enter service following the more recognizable Me 262.;;;;;;;;;;X;
EVT_NAME_1100012;Junkers Ju 87 'Stuka';;;;;;;;;;;
EVT_DESC_1100012;Before the Allies would gain air superiority over the skies of France and Germany, the Junkers Ju 87 'StuKa' dive bomber would reign supreme. The system, for a time, became the terror of both civilian and soldier alike, as the screaming howl of its 'Jericho Trumpet' sirens filled the sky with a shriek before letting lose with the aircraft's payload. In essence, the dive bomber was, for the first time, being used to critical effect - an almost forecasting of the capabilities of today's direct-strike precision bombing. The name 'StuKa' comes from the longform 'Sturzkampfflugzeug' which translates to 'Drop-Down-Fight-Airplane'. Once World War 2 had begun in September of 1939, the Stuka was a featured set piece for the German Luftwaffe in its conquest of Poland. The system earned its deadly reputation early on due to its precision strike abilities. Following the collapse of the Polish defenses, and the fall of Norway, the Low Countries and France, it was also used in the Battle of Britain, but with limited sucess. \nIn an effort to shore up its limitations, the Ju 87D model was revealed and these were posted along the East Front and during the North African Campaign. The Ju 87G model came online as a dedicated 'tank buster' armed through twin 37mm cannons. This particular entry provided new life to the series and would later prove to be one of the most successful designs of the war.;;;;;;;;;;X;
EVT_NAME_1100013;Blocking Detachment;;;;;;;;;;;
EVT_DESC_1100013;In the Red Army of the Soviet Union, the concept of barrier troops first arose in August 1918 with the formation of the 'blocking troops' or 'anti-retreat detachments'. The barrier troops were composed of personnel drawn from Cheka punitive detachments or from regular Red Army infantry regiments. The first use of the barrier troops by the Red Army occurred in the late summer and fall on the Eastern front during the Russian Civil War, when commander Mikhail Tukhachevsky was authorized to station blocking detachments behind unreliable Red Army infantry regiments in the 1st Red Army, with orders to shoot if they either deserted or retreated without permission. \nThe concept was re-introduced on a large scale during the Second World War. On June 27, 1941, in response to reports of unit disintegration in battle and desertion from the ranks in the Soviet Red Army, the 3rd Department of the USSR's Narkomat of Defense issued a directive creating mobile barrier forces composed of NKVD personnel to operate on roads, railways, forests, etc. for the purpose of catching 'deserters and suspicious persons'. On September 12, 1941, Joseph Stalin issued the Stavka Directive No. 1919 concerning the creation of barrier troops in rifle divisions of the Southwestern Front, to suppress panic retreats. Each Red Army division was to have an anti-retreat detachment equipped with transport totalling one company for each regiment. Their primary goal was to maintain strict military discipline and to prevent disintegration of the front line by any means, including the use of machine guns to indiscriminately shoot any personnel retreating without authorization.;;;;;;;;;;X;
EVT_NAME_1100014;IS-2 'Josef Stalin';;;;;;;;;;;
EVT_DESC_1100014;The Soviet Army need for ever-more formidable tracked firepower came to the forefront after losses of much territory to the invading Germans in the summer of 1941. The stout KV heavy tank series (KV-1 and KV-2) proved adequate but only an extent for they lacked the necessary battlefield mobility of the fabled T-34 medium tank series while utilizing similar weaponry. The KV-1 was more of a tank-killer with its F-34 76.2mm main gun. The KV-2 mounted a 152mm howitzer and was more of a fire support vehicle thank tank destroyer. The T-34, while an ever-evolving system, lacked the required firepower with its base 76.2mm main gun and armor protection was limited, particularly against the ranks of the newer German Panther and Tiger heavy tank series. As such, endeavors were undertaken by the Red Army to present newer and better systems to level the playing field. One such development therefore became IS series of heavy tanks - popularly known as the 'Josef Stalin' series - the most powerful tank to serve in the Red Army during all of World War 2. The IS family set the stage for Soviet tank development doctrine for decades to come.;;;;;;;;;;X;
EVT_NAME_1100015;Downfall of Walther von Brauchitsch;;;;;;;;;;;
EVT_DESC_1100015;Walther von Brauchitsch was born into an aristocratic military family in 1881. The Brauchitsch family had a long tradition of military service, and like his forefathers, Brauchitsch was raised in the tradition of the Prussian officer corps. During World War I, he served on the western front and was awarded the Iron Cross 1st Class as well as the House Order of Hohenzollern. When the Commander-in-Chief of the Army, Werner von Fritsch, was accused of homosexuality, Hitler appointed Brauchitsch a colonel general and the new army chief, on the recommendation of the Army High Command on 4 February 1938. Even though Brauchitsch was in charge of operational affairs during the Polish and French campaigns, he had very little influence, as a whole, as to the war's progress. \nWhen Germany turned East and invaded the Soviet Union in June 1941, he played a key part, making modifications to the original plan. As the Battle of Moscow got under way, his health was starting to fail. Even so, he continued his work, as he was determined to take Moscow before the start of winter. The army's failure to take Moscow earned Hitler's enmity, and things worsened for him, as he suffered a heart attack in November. He was also informed that he had a malignant cardiac disease, most likely incurable. In the aftermath of the failure at Moscow, Brauchitsch was dismissed as Commander-in-Chief of the German Army and replaced by Adolf Hitler himself on 19 December. He was transferred to the Führerreserve, where he remained without assignment until the end of the war.;;;;;;;;;;X;
EVT_NAME_1100016;Liberation of Leningrad;;;;;;;;;;;
EVT_DESC_1100016;The German Wehrmacht was completely surprised by the Soviet counterattack and could build up only little resistance against the overwhelming attackers. Soon, important cities fell into Soviet hands including Leningrad, which has been caputred by the Wehrmacht in a bloody siege in the beginning of Unternehmen Barbarossa.\n \nToday, a spectacular show was put on by the invading troops parading down the streets of Leningrad to the roaring sound of Soviet fighters passing by overhead.  The next day, Stalin declared the city to have been liberated, and Leningrad celebrated with a red, white and blue salute from 324 Katyusha rocket launchers and artillery pieces at 8 pm.;;;;;;;;;;X;
EVT_NAME_1100017;Fall of Leningrad;;;;;;;;;;;
EVT_NAME_1100019;Liberation of Moscow;;;;;;;;;;;
EVT_DESC_1100019;Today, the overwhelming Red army was able to liberate Moscow, which has been captured by the Wehrmacht in a bloody siege in the beginning of Unternehmen Barbarossa. Fighting within the ruined city was fierce and desperate. Although, suffering high casualties due to heavy resistance, General Zhukov and his brave men were eventually able to liberate the city and raised the Soviet flag. This is a historical day for the Soviet Union, soon we will have liberated the whole country!;;;;;;;;;;X;
EVT_NAME_1100020;Liberation of Stalingrad;;;;;;;;;;;
EVT_DESC_1100020;In the early morning hours, Zhukov ordered his cannons and rocket systems to light up the sky. Thousands of artillery guns and Katyusha rocket projector vehicles brought down lethal rain onto the Wehrmacht occupying the city. Soviet ground forces, led by infantry and tanks, poured in and desperate fighting within the ruined city arose. Eventually the Red Army was victorious! The next day, Stalin declared the city to have been liberated, and Leningrad celebrated with a red, white and blue salute from various artillery pieces.;;;;;;;;;;X;
EVT_NAME_1100021;Fall of Stalingrad;;;;;;;;;;;
EVT_NAME_1100022;Liberation of Baku;;;;;;;;;;;
EVT_DESC_1100022;The region north of the Caucasus mountains was a production center for grain, cotton and heavy farm machinery while its two main oilfields produced about 10 percent of all Soviet oil. South of the mountains lay the densely populated region of Transcaucasia. This heavily industrialized area contained some of the largest oilfields in the world. Baku was one of the richest, producing 80 percent of the Soviet Union's oil—about 24 million tons in 1942 alone. The Caucasus also possessed plentiful coal and peat, as well as nonferrous and rare metals. Manganese deposits at Chiaturi formed the richest single source in the world, yielding 1.5 million tons of manganese ore annually. The Kuban region also contained vast swaths of wheat, corn, sunflower seeds and sugar beets. \n \nToday, Soviet forces have attained control of the city after a lightning-quick invasion from the east and support from massive artillery and aerial bombardment. Local German radio chatter is full of confusion and panic at the fall of this vital city in the Kuban region. The liberation of this city is yet another message to the world that the Red Army is far from defeat.;;;;;;;;;;X;
EVT_NAME_1100023;Fall of Baku;;;;;;;;;;;
EVT_NAME_1100024;Liberation of Kiev;;;;;;;;;;;
EVT_DESC_1100024;After massive artillery and aerial bombardment, Soviet troops entered Kiev, a city not yet recovered from the battle in the early stage of Barbarossa, and now further damaged by both the intense Soviet invasion and the scorched-earth German retreat. Kiev suffered 7,000 buildings, which included about 1,000 factories, plundered or destroyed at the hands of the Germans. 200,000 civilians were killed during the course of the war. 100,000 civilians were sent to concentration camps during the occupation. What resulted was a city with only 80,000 survivors, a mere 20 percent of its prewar size.;;;;;;;;;;X;
EVT_NAME_1100025;Fall of Kiev;;;;;;;;;;;
